	id	title	all_artists	popularity	release_date	danceability	energy	key	loudness	mode	acousticness	instrumentalness	liveness	valence	tempo	duration_ms	time_signature
216	1VZLEW5ZfcAbKZ94XQiSZF	Close To You	Frank Ocean	66	2016-08-20	0.855	0.663	5	-8.401	0	0.194	0.0013	0.146	0.815	77.978	85754	4
217	2LMkwUfqC6S6s6qDVlEuzV	White Ferrari	Frank Ocean	78	2016-08-20	0.501	0.0958	0	-15.605	1	0.77	0.0	0.298	0.204	108.741	248808	4
218	1BViPjTT585XAhkUUrkts0	Seigfried	Frank Ocean	68	2016-08-20	0.377	0.253	4	-11.155	0	0.975	0.000259	0.101	0.367	125.403	334570	3
219	34xTFwjPQ1dC6uJmleno7x	Godspeed	Frank Ocean	74	2016-08-20	0.399	0.0969	6	-12.578	1	0.929	0.000168	0.121	0.0758	109.54	177922	4
220	5k8LB57xOq8UUNVaKWSqrf	Futura Free	Frank Ocean	62	2016-08-20	0.266	0.678	1	-12.364	1	0.769	9.37e-05	0.503	0.201	83.434	564166	4
221	0GAE689kVy7sFT2QWZH1Xa	Start	Frank Ocean	55	2012-07-10	0.347	0.33	7	-19.761	1	0.74	0.931	0.557	0.0316	82.85	45640	5
222	7DfFc7a6Rwfi3YQMRbDMau	Thinkin Bout You	Frank Ocean	79	2012-07-10	0.721	0.339	0	-11.195	1	0.409	0.00153	0.0973	0.2	129.83	200747	4
223	6jypaMkKsoc5npsVzxhksl	Fertilizer	Frank Ocean	61	2012-07-10	0.706	0.57	11	-7.129	1	0.689	0.0698	0.288	0.96	115.864	39640	4
224	1HwbgJAU9PZ7YbzKgVgoIF	Sierra Leone	Frank Ocean	66	2012-07-10	0.529	0.608	7	-7.809	1	0.166	0.0185	0.109	0.616	125.017	148760	4
225	6MEDfjHxnVNcYmHe3mM6L2	Sweet Life	Frank Ocean	68	2012-07-10	0.479	0.558	11	-6.074	1	0.227	0.0	0.0808	0.8	83.465	262680	4
226	3iW3y326xuRpNVXzOMBZy5	Not Just Money	Frank Ocean	57	2012-07-10	0.357	0.827	11	-15.868	0	0.775	0.0213	0.493	0.103	152.13	59760	1
227	0725YWm6Z0TpZ6wrNk64Eb	Super Rich Kids	Earl Sweatshirt	75	2012-07-10	0.739	0.419	3	-8.241	0	0.219	0.0	0.196	0.58	60.493	304760	4
228	2ohegz9maxzroKBu9YhcCM	Pilot Jones	Frank Ocean	62	2012-07-10	0.394	0.433	8	-13.473	1	0.485	7.81e-05	0.817	0.394	118.988	184080	1
229	5lcyIeEfwZTs8Ajw3kdF7P	Crack Rock	Frank Ocean	69	2012-07-10	0.429	0.736	5	-8.017	1	0.0696	0.0	0.0852	0.379	89.262	224147	4
230	4QhWbupniDd44EDtnh2bFJ	Pyramids	Frank Ocean	75	2012-07-10	0.4	0.65	5	-6.104	0	0.0118	7.62e-05	0.791	0.15	107.989	592920	4
231	3GZD6HmiNUhxXYf8Gch723	Lost	Frank Ocean	85	2012-07-10	0.913	0.603	8	-4.892	1	0.0272	0.000503	0.167	0.497	123.061	234093	4
232	1VMdwVq0yaTc4DeqSCi7DO	White	John Mayer	63	2012-07-10	0.608	0.0664	1	-18.857	1	0.758	0.945	0.0978	0.294	139.232	76280	4
233	0msrDPXxZpts4FRnoX0bFr	Monks	Frank Ocean	63	2012-07-10	0.747	0.758	0	-4.743	0	0.0521	0.0	0.214	0.601	102.02	200240	4
234	2pMPWE7PJH1PizfgGRMnR9	Bad Religion	Frank Ocean	66	2012-07-10	0.359	0.367	9	-7.684	1	0.738	1.43e-06	0.0736	0.104	83.331	175453	4
235	1fOkmYW3ZFkkjIdOZSf596	Pink Matter	André 3000	73	2012-07-10	0.392	0.233	11	-11.012	0	0.951	0.000322	0.106	0.494	176.569	268813	3
236	4YZbVct8l9MnAVIROnLQdx	Forrest Gump	Frank Ocean	69	2012-07-10	0.701	0.417	6	-7.818	0	0.0888	0.000648	0.375	0.186	95.003	194840	4
237	05tFLPSXJ1BbqIXy4Jeqfh	End	Frank Ocean	58	2012-07-10	0.476	0.299	2	-17.997	1	0.383	0.752	0.0878	0.384	119.487	134600	4
238	0wv8dVb5uaLUdVrTSMbEpw	Outside	Kero Kero Bonito	1	2018-10-01	0.248	0.669	11	-5.116	0	0.00407	0.0	0.0868	0.226	96.237	111008	4
